2025-08-03 11:05:53,840 | INFO     | __main__ | Initialisation UI : 0.57 sec
2025-08-03 11:05:53,859 | INFO     | __main__ | Temps total d'ouverture : 0.89 sec
2025-08-03 11:05:54,508 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:05:54,509 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:05:10.891098+00:00
2025-08-03 11:05:54,509 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:05:54,773 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 11:05:54,954 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:05:55,297 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80e3-979e-f0053a3bea4d/query "HTTP/1.1 200 OK"
2025-08-03 11:05:55,298 | INFO     | services.notion_client | 17 UE récupérées depuis Notion
2025-08-03 11:06:12,672 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:06:12 ---


2025-08-03 11:06:12,748 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:06:12,835 | INFO     | __main__ | Application démarrée
2025-08-03 11:06:13,059 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:06:13,061 | INFO     | __main__ | Chargement cache local : 0.23 sec
2025-08-03 11:06:13,652 | INFO     | __main__ | Initialisation UI : 0.59 sec
2025-08-03 11:06:13,665 | INFO     | __main__ | Temps total d'ouverture : 0.92 sec
2025-08-03 11:06:14,841 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:06:14,841 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:05:55.298132+00:00
2025-08-03 11:06:14,841 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:06:15,003 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 11:06:15,192 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:06:15,695 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80e3-979e-f0053a3bea4d/query "HTTP/1.1 200 OK"
2025-08-03 11:06:15,696 | INFO     | services.notion_client | 17 UE récupérées depuis Notion
2025-08-03 11:06:25,135 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:06:25 ---


2025-08-03 11:06:25,200 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:06:25,272 | INFO     | __main__ | Application démarrée
2025-08-03 11:06:25,489 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:06:25,491 | INFO     | __main__ | Chargement cache local : 0.22 sec
2025-08-03 11:06:26,056 | INFO     | __main__ | Initialisation UI : 0.56 sec
2025-08-03 11:06:26,068 | INFO     | __main__ | Temps total d'ouverture : 0.87 sec
2025-08-03 11:06:26,620 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:06:26,621 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:06:15.696929+00:00
2025-08-03 11:06:26,621 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:06:28,344 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80e3-979e-f0053a3bea4d/query "HTTP/1.1 200 OK"
2025-08-03 11:06:28,346 | INFO     | services.notion_client | 17 UE récupérées depuis Notion
2025-08-03 11:06:30,488 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 11:06:30,743 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:06:32,618 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 11:06:32,861 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:06:33,852 | INFO     | __main__ | Changement d'écran vers : colleges
